city,county,lat,lon,temperature,humidity,coludiness,wind_speed
albany,Australia,-59.95063882721898,116.75562727127664,64,87,90,6.2
punta arenas,Chile,-65.15069961324119,-110.90847445688898,46,61,0,12.3
nanortalik,Greenland,53.078565440328816,-36.40123518252119,39,81,0,0.83
georgetown,"Saint Helena, Ascension and Tristan da Cunha",-16.684452973242387,-22.561588883597693,84,79,20,3.1
ushuaia,Argentina,-72.60855675296962,-38.59793149185751,33,94,100,3.78
vaini,Tonga,-21.178120784571732,-176.99025980906436,73,94,32,0.77
grand forks,United States of America,47.97055936137758,-97.01991083898814,59,54,40,10.8
saint-philippe,Réunion,-29.225383142468125,57.79619354507901,62,72,90,6.7
nemuro,Japan,38.704062793337926,150.11101357376384,55,62,0,5.53
busselton,Australia,-34.095475135505765,110.28666475311951,48,72,0,4.91
mahebourg,Mauritius,-52.11270845387947,76.86917839072851,73,78,20,5.7
namatanai,Papua New Guinea,1.761456014981448,155.81421124279933,79,86,95,5.02
milkovo,Russian Federation,55.21117274613809,158.4109165702394,62,58,81,4.1
atuona,French Polynesia,5.219194847344411,-128.1415758322584,79,73,52,7.6
vallenar,Chile,-26.565376729278228,-76.38578567732449,75,27,0,3.75
mataura,French Polynesia,-31.25615840128212,-145.13276233063553,48,85,84,0.89
chuy,Uruguay,-63.42073965935801,-21.17064663060998,56,77,0,3.5
souillac,Mauritius,-55.75306896402703,77.39505348599664,57,87,0,2.6
comodoro rivadavia,Argentina,-47.26254603035516,-69.42725312223541,62,42,40,8.7
cape town,South Africa,-56.021953713071774,-2.133754211576104,62,82,75,3.1
port elizabeth,South Africa,-72.6113873368457,29.99786784817755,73,68,90,3.6
bathsheba,Barbados,14.820898951045564,-57.522930868988595,86,70,75,7.2
san policarpo,Philippines,14.854296731796879,129.85331112632696,79,78,3,2.37
beloha,Madagascar,-33.92215912328264,40.850219130041864,73,67,0,5.66
iqaluit,Canada,63.196328584090054,-75.20508363572722,37,86,75,4.6
shar,Kazakhstan,49.88363460141272,81.26765910158053,74,95,95,2.56
upernavik,Greenland,74.70677041880481,-59.01200237465622,31,72,87,3.34
altay,China,48.02440993411315,89.12395427639308,42,30,0,2.81
maine-soroa,Niger,12.926063531605251,11.646095436960536,83,56,40,3.86
amapa,Brazil,2.275678628135836,-49.454916249664734,91,55,40,4.1
morant bay,Jamaica,16.97219944408586,-76.61929639167735,86,70,75,6.7
severo-kurilsk,Russian Federation,44.28290075766293,158.37227756031223,44,77,0,10.12
kendari,Indonesia,-2.9695787301720173,122.58961198989044,71,96,24,1.08
rikitea,French Polynesia,-81.56837948812384,-139.5741893666847,73,88,100,3.88
puerto ayora,Ecuador,-12.29476809751803,-97.13036753308296,75,64,20,10.8
half moon bay,United States of America,35.12858628909801,-125.5563470855142,84,19,40,0.72
synya,Russian Federation,65.1574268792283,58.72604162884903,30,92,98,2.69
andra,Russian Federation,63.97102258697615,66.09883897948666,36,76,92,1.99
ilulissat,Greenland,81.97887720483706,-43.06298347076543,35,80,100,4.6
padang,Indonesia,-1.272989032745727,99.86772062861348,77,85,94,7.08
talnakh,Russian Federation,75.14624587646409,88.55703764074343,32,92,75,10.0
kununurra,Australia,-15.758233477906387,129.37841090309433,71,88,0,2.37
kuusamo,Finland,65.76744935850331,29.328232159393394,35,93,90,1.5
new norfolk,Australia,-63.687240171181884,126.14109736373706,53,61,40,3.6
port alfred,South Africa,-83.77882702734098,53.21826643136001,64,90,90,0.45
umm kaddadah,Sudan,15.996601010326103,27.56924750471751,82,53,0,4.65
palm coast,United States of America,29.937822052443778,-80.29078312169051,84,69,40,6.7
tasiilaq,Greenland,73.24710026690093,-35.8691189956611,42,87,100,3.2
saldanha,South Africa,-43.57492306691264,-4.760441735234991,62,48,88,1.86
san carlos,Chile,-36.29156432282533,-71.96355209663994,75,11,100,1.71
bredasdorp,South Africa,-69.79907742023701,22.199056421591308,59,87,100,0.5
whitehorse,Canada,61.177827641459004,-130.03438415066992,30,86,90,4.1
pevek,Russian Federation,77.99104949539691,173.26133106807168,26,80,97,1.99
cacu,Brazil,-19.025837345464907,-50.794048823404495,74,77,99,1.9
hobart,Australia,-75.02801701783623,151.49924640704722,53,61,40,3.6
jamestown,"Saint Helena, Ascension and Tristan da Cunha",-19.750781997569476,-11.985198295180254,52,92,100,2.98
vanimo,Papua New Guinea,-1.8729722420488883,141.67347350187708,80,79,42,2.95
vodyane,Ukraine,47.54811946563066,34.43525745252131,44,82,6,3.38
lompoc,United States of America,25.82943237408324,-130.25392279570931,91,32,1,5.7
qaanaaq,Greenland,82.2978913160006,-78.34800397552519,16,79,67,6.78
guerrero negro,Mexico,21.033451753865833,-122.65812223336991,71,75,0,4.85
valdivia,Chile,-39.63282736514728,-75.89712777209463,53,81,75,4.1
katobu,Indonesia,-5.254221233034684,123.73466795139791,71,95,22,1.04
bay roberts,Canada,41.00566998595653,-52.745246206902564,46,70,20,3.1
cherskiy,Russian Federation,85.07924027414506,159.24459263230784,15,84,0,2.65
nikolayevka,Russian Federation,54.12157037445559,45.1288258189995,53,64,100,7.84
kambove,Congo (Democratic Republic of the),-10.40285575740873,25.488120652477676,67,52,0,2.03
hermanus,South Africa,-59.60116858072865,5.4682673496388645,60,91,98,1.21
saint anthony,Canada,56.66465378372598,-53.4797208047665,55,39,1,3.1
manta,Ecuador,0.7998704797147411,-83.27122726047324,42,75,45,0.77
skibbereen,Ireland,48.73645906746984,-11.313250301629068,50,100,75,6.2
yellowknife,Canada,88.76850158781593,-98.24471060362619,44,87,75,5.7
klyuchevsk,Russian Federation,57.378478366283105,60.802733586233245,30,86,61,1.99
tocopilla,Chile,-22.26040565086683,-70.57433843819543,58,87,43,6.7
barabinsk,Russian Federation,55.18010781762632,78.03712057542788,50,72,0,1.84
kuliyapitiya,Sri Lanka,7.7879480020787355,79.48976027131454,75,94,40,1.5
saskylakh,Russian Federation,75.86969761401735,119.76299964635405,18,97,85,0.2
pisco,Peru,-26.7326992277605,-99.1025818584985,71,30,0,4.1
sorgun,Turkey,40.119109951895354,35.37806582128496,46,71,0,0.3
bilibino,Russian Federation,73.15019705024244,165.9940541319237,6,78,33,1.48
scalea,Italy,39.640227105217804,15.501384416469136,62,97,93,1.32
cururupu,Brazil,5.296770136847542,-41.43829482110806,78,74,27,1.61
arona,Spain,25.357834512722818,-17.905510623499595,60,93,75,3.1
batagay,Russian Federation,68.62767705390004,135.20200443333601,17,56,88,0.55
mar del plata,Argentina,-48.7056375548296,-47.79580187171538,57,39,100,11.69
fatehpur,Pakistan,30.770331287942795,71.2825629627088,73,57,0,0.76
paralia,Greece,40.12254666567182,22.84431125320515,66,77,40,1.5
peniche,Portugal,40.547043219940264,-12.477297267484744,64,93,40,2.6
palmer,United States of America,60.30576473737051,-147.69956125160434,57,76,75,5.7
haines junction,Canada,61.32861685656701,-139.49879593581406,25,77,100,2.6
east london,South Africa,-67.99487411449493,49.39279570552364,61,91,100,1.92
lakatoro,Vanuatu,-17.029180613648847,166.27651916281246,78,78,35,1.24
tondano,Indonesia,-0.2466855164239803,124.63617290425833,71,94,20,0.5
eidsvag,Norway,62.32634214745963,7.975143118053182,39,64,0,4.6
benguela,Angola,-12.194076255386136,10.973611297798243,71,85,100,4.77
khatanga,Russian Federation,78.52382922458511,99.48862819119762,19,95,3,3.55
cockburn town,Turks and Caicos Islands,27.26836376288024,-68.98188547568009,84,83,40,3.1
flin flon,Canada,60.68679661379986,-101.36526997711418,48,49,75,9.8
turukhansk,Russian Federation,65.09902934716192,86.0280340794335,39,81,100,6.42
port lincoln,Australia,-44.688638231738814,130.06162077993434,56,78,100,6.46
lopsmarka,Norway,67.19292515021905,14.496807848132363,44,75,40,5.1
bluff,New Zealand,-80.28432991689398,174.90449146487674,68,53,0,2.61
portland,Australia,-47.172805040564235,135.69161259364284,60,77,90,4.6
kutum,Sudan,16.965912966706767,24.565616254539577,76,56,1,1.5
byron bay,Australia,-28.745005167212604,161.6026701836389,73,93,28,2.6
gat,Libya,25.425073641881752,5.536804327881072,86,74,67,2.1
salalah,Oman,17.659263276282672,56.12286574072024,80,83,20,2.6
barrow,United States of America,84.76255204030863,-154.02785620991048,67,45,100,6.08
carnarvon,Australia,-20.59452301859369,105.09319369456523,61,15,0,2.25
hilo,United States of America,29.322749204646612,-146.35508743978454,86,51,1,2.6
chokurdakh,Russian Federation,82.50393388695773,152.22595092911484,19,83,100,2.29
norman wells,Canada,62.222059260981524,-130.14608909747858,39,55,20,5.1
yulara,Australia,-25.834681902671946,126.40848896072544,62,39,0,2.6
nikolskoye,Russian Federation,50.73992574203581,167.65333486826387,35,80,90,1.0
piacenza,Italy,45.019150959823065,9.589634010103595,60,77,75,2.1
tuktoyaktuk,Canada,69.7241548009346,-129.1342127650767,35,80,90,8.2
koutiala,Mali,12.211623880241788,-5.7262391987893295,77,73,100,1.31
cairns,Australia,-15.75925571377148,147.04045016806958,73,64,40,7.2
feni,Bangladesh,22.89461853797505,91.17993269801917,76,91,94,0.01
mezen,Russian Federation,68.3174916987727,45.335741321479134,28,91,0,1.69
bubaque,Guinea-Bissau,3.1514878605629093,-22.111194916972096,82,79,7,4.45
ballina,Australia,-32.11950472118222,162.81263491467644,53,83,95,4.02
krivosheino,Russian Federation,57.13770647311091,83.93208135224154,48,96,66,2.51
henties bay,Namibia,-20.86715819875836,13.39074005697006,62,87,0,2.68
faya,Chad,20.344614375973777,24.22343880671923,66,88,0,1.38
saint george,Bermuda,31.647676781748288,-49.65082396527234,60,77,75,2.29
yar-sale,Russian Federation,66.04234500497506,70.88811391721373,33,76,0,9.75
atasu,Kazakhstan,48.472935540483064,70.6170498300429,50,27,0,3.88
verkhnetulomskiy,Russian Federation,68.2269565144399,32.01646144014839,37,100,75,1.0
mount gambier,Australia,-45.11450181101159,133.86252253645978,44,100,40,3.6
victoria,Seychelles,-10.07748830030566,65.4556025746106,78,88,75,2.44
san patricio,Mexico,5.0918320635917524,-113.94527330134943,71,71,49,2.41
shawnee,United States of America,35.34737404654592,-96.69863975447691,66,82,90,7.2
inta,Russian Federation,67.61815219154732,59.123835372740814,33,86,100,7.42
teacapan,Mexico,21.36777952177738,-107.07672969861852,85,76,0,5.72
buala,Solomon Islands,-3.364349883825554,162.6981525310353,80,79,94,2.5
butaritari,Kiribati,6.150731428061377,167.85081046751355,84,66,10,2.21
hisar,India,29.174905097621888,75.55678169317409,76,47,100,3.13
karratha,Australia,-19.934064274286456,112.64626931170102,82,15,0,8.38
impfondo,Congo,2.3548156452017963,18.289324723583377,72,95,72,1.06
naze,Japan,20.67523831915392,139.6949469839197,73,100,75,1.5
kavieng,Papua New Guinea,9.486744017542293,151.85667467952106,83,72,73,3.22
grand gaube,Mauritius,-13.328611980538284,62.94944756254196,73,78,20,5.7
borovoy,Russian Federation,63.204616874998266,52.46150963023496,32,87,100,0.79
orange cove,United States of America,37.783178059845156,-118.88280120391138,87,26,1,0.98
svetlaya,Russian Federation,47.55464432365329,137.6094913450188,36,55,0,2.33
bara,Sudan,15.380626594250998,29.4123277100403,72,86,98,0.36
ishinomaki,Japan,38.47977074509279,141.38820304279687,59,93,75,2.6
tiksi,Russian Federation,88.48416425974935,123.8671201515935,21,94,94,1.85
kalispell,United States of America,47.9604925839256,-115.01038518629659,60,37,75,3.6
sitka,United States of America,53.798151237505635,-143.43419683909585,64,41,98,6.71
tateyama,Japan,22.527773110608493,144.2261006313683,57,93,40,0.5
namibe,Angola,-12.438441961149252,8.539289796846816,67,76,26,1.41
dalbandin,Pakistan,29.194301273821253,64.96065550474907,69,42,0,3.23
sao geraldo do araguaia,Brazil,-7.007011669169188,-49.67062370733237,87,49,39,1.28
beira,Mozambique,-20.062294824241874,36.16951002028358,59,87,0,1.0
tsabong,Botswana,-27.033899163194242,22.178051545457464,80,26,100,7.15
